student_id,semester,course_name,score,gpa
20210101001,2021-2022-1,高等数学,85,3.0
20210101001,2021-2022-1,大学英语,78,2.5
20210101001,2021-2022-1,程序设计基础,90,3.5
20210101001,2021-2022-2,线性代数,92,3.8
20210101001,2021-2022-2,数据结构,88,3.3
20210101001,2022-2023-1,操作系统,75,2.0
20210101001,2022-2023-1,计算机网络,80,2.8
20210101002,2021-2022-1,高等数学,55,0.0
20210101002,2021-2022-1,大学英语,82,3.0
20210101002,2021-2022-1,程序设计基础,68,1.5
20210101002,2021-2022-2,线性代数,48,0.0
20210101002,2021-2022-2,数据结构,72,2.0
20210101002,2022-2023-1,操作系统,62,1.3
20210101002,2022-2023-1,计算机网络,70,1.8
20210101003,2021-2022-1,高等数学,90,3.5
20210101003,2021-2022-1,大学英语,85,3.0
20210101003,2021-2022-1,程序设计基础,92,3.8
20210101003,2021-2022-2,线性代数,88,3.3
20210101003,2021-2022-2,数据结构,95,4.0
20210101003,2022-2023-1,操作系统,86,3.3
20210101004,2021-2022-1,高等数学,76,2.3
20210101004,2021-2022-1,大学英语,88,3.3
20210101004,2021-2022-1,程序设计基础,82,3.0
20210101004,2021-2022-2,线性代数,70,1.8
20210101004,2021-2022-2,数据结构,74,2.0
20210101005,2021-2022-1,高等数学,92,3.8
20210101005,2021-2022-1,大学英语,90,3.5
20210101005,2021-2022-1,程序设计基础,95,4.0
20210101005,2021-2022-2,线性代数,88,3.3
20210101006,2021-2022-1,高等数学,60,1.0
20210101006,2021-2022-1,大学英语,58,0.0
20210101006,2021-2022-1,程序设计基础,62,1.3
20210101006,2021-2022-2,线性代数,55,0.0
20210101006,2021-2022-2,数据结构,50,0.0
20210101007,2021-2022-1,高等数学,88,3.3
20210101007,2021-2022-1,大学英语,90,3.5
20210101007,2021-2022-1,程序设计基础,86,3.3
20210101008,2021-2022-1,高等数学,72,2.0
20210101008,2021-2022-1,大学英语,75,2.3
20210101008,2021-2022-1,程序设计基础,68,1.5
20210101009,2021-2022-1,高等数学,82,3.0
20210101009,2021-2022-1,大学英语,85,3.0
20210101009,2021-2022-1,程序设计基础,88,3.3
20210101010,2021-2022-1,高等数学,58,0.0
20210101010,2021-2022-1,大学英语,52,0.0
20210101010,2021-2022-1,程序设计基础,60,1.0
20210101011,2021-2022-1,高等数学,86,3.3
20210101011,2021-2022-1,大学英语,88,3.3
20210101011,2021-2022-1,程序设计基础,92,3.8
20210101012,2021-2022-1,高等数学,70,1.8
20210101012,2021-2022-1,大学英语,68,1.5
20210101012,2021-2022-1,程序设计基础,72,2.0
20210101013,2021-2022-1,高等数学,91,3.8
20210101013,2021-2022-1,大学英语,93,4.0
20210101013,2021-2022-1,程序设计基础,95,4.0
20210101014,2021-2022-1,高等数学,64,1.3
20210101014,2021-2022-1,大学英语,70,1.8
20210101014,2021-2022-1,程序设计基础,66,1.5
20210101015,2021-2022-1,高等数学,84,3.0
20210101015,2021-2022-1,大学英语,86,3.3
20210101015,2021-2022-1,程序设计基础,88,3.3
20210101016,2021-2022-1,高等数学,45,0.0
20210101016,2021-2022-1,大学英语,50,0.0
20210101016,2021-2022-1,程序设计基础,42,0.0
20210101017,2021-2022-1,高等数学,78,2.5
20210101017,2021-2022-1,大学英语,82,3.0
20210101017,2021-2022-1,程序设计基础,80,2.8
20210101018,2021-2022-1,高等数学,88,3.3
20210101018,2021-2022-1,大学英语,85,3.0
20210101018,2021-2022-1,程序设计基础,90,3.5
20210101019,2021-2022-1,高等数学,62,1.3
20210101019,2021-2022-1,大学英语,68,1.5
20210101019,2021-2022-1,程序设计基础,58,0.0
20210101020,2021-2022-1,高等数学,95,4.0
20210101020,2021-2022-1,大学英语,92,3.8
20210101020,2021-2022-1,程序设计基础,96,4.0
20210101021,2021-2022-1,高等数学,74,2.0
20210101021,2021-2022-1,大学英语,78,2.5
20210101021,2021-2022-1,程序设计基础,70,1.8
20210101022,2021-2022-1,高等数学,80,2.8
20210101022,2021-2022-1,大学英语,84,3.0
20210101022,2021-2022-1,程序设计基础,86,3.3
