student_id,borrow_date,book_name,category
20210101001,2024-03-15,算法导论,科技
20210101001,2024-03-18,设计模式,科技
20210101001,2024-03-20,百年孤独,文学
20210101001,2024-04-02,深入理解计算机系统,科技
20210101001,2024-04-10,人类简史,社科
20210101002,2024-02-10,平凡的世界,文学
20210101002,2024-02-15,C++ Primer,科技
20210101002,2024-03-22,活着,文学
20210101003,2024-01-05,机器学习,科技
20210101003,2024-01-12,Python数据分析,科技
20210101003,2024-01-20,深度学习,科技
20210101003,2024-02-18,三体,文学
20210101004,2024-03-08,数据库系统概念,科技
20210101004,2024-03-25,经济学原理,社科
20210101004,2024-04-05,围城,文学
20210101005,2024-03-01,编译原理,科技
20210101005,2024-03-15,时间简史,科技
20210101005,2024-04-01,红楼梦,文学
20210101006,2024-02-01,高等数学辅导,科技
20210101006,2024-03-05,大学英语写作,社科
20210101007,2024-01-15,人工智能导论,科技
20210101007,2024-02-20,万历十五年,社科
20210101007,2024-03-10,1984,文学
20210101008,2024-03-12,计算机组成原理,科技
20210101009,2024-03-18,软件工程导论,科技
20210101009,2024-04-02,白夜行,文学
20210101010,2024-02-25,高等数学解题,科技
20210101010,2024-03-20,C程序设计,科技
20210101011,2024-01-08,统计学习方法,科技
20210101011,2024-01-22,数据结构与算法,科技
20210101011,2024-02-10,沉思录,社科
20210101012,2024-03-05,操作系统概念,科技
20210101013,2024-02-14,计算机网络,科技
20210101013,2024-03-01,百年孤独,文学
20210101013,2024-03-15,思考快与慢,社科
20210101014,2024-01-20,高等数学,科技
20210101014,2024-02-18,大学物理,科技
20210101015,2024-03-10,离散数学,科技
20210101015,2024-04-01,霍乱时期的爱情,文学
20210101016,2024-02-05,微积分基础,科技
20210101016,2024-03-18,线性代数习题,科技
20210101016,2024-04-05,C语言入门,科技
20210101017,2024-01-10,数据库原理,科技
20210101017,2024-02-22,小王子,文学
20210101017,2024-03-15,社会心理学,社科
20210101018,2024-03-01,概率论与数理统计,科技
20210101018,2024-03-20,代码整洁之道,科技
20210101018,2024-04-10,国富论,社科
20210101019,2024-02-12,政治经济学,社科
20210101019,2024-03-08,高等代数,科技
20210101020,2024-01-05,云计算与大数据,科技
20210101020,2024-01-18,微观经济学,社科
20210101020,2024-02-01,论语,社科
